Name,Aurthor,Main_Source,Sub_Source,Ingredients,Cooktime,Cuisine ,Type,Gluten_Free,Nut_Free,Oil_Free,Soy_Free,No_Added_Sugar,Refined_Sugar_Free,Raw,Last_Made
Cinnamony French Toast with Apple Compote,Hannah Sunderani,The Two Spoons Cookbook,29,,,French,Breakfast,,,,,,,,
Oaty Banana Pancakes,Hannah Sunderani,The Two Spoons Cookbook,30,,,French,Breakfast,,,,,,,,
Classic Flaky Croissants,Hannah Sunderani,The Two Spoons Cookbook,33,,,French,Breakfast,,,,,,,,
Buttery Brioche,Hannah Sunderani,The Two Spoons Cookbook,39,,,French,Breakfast,,,,,,,,
Parisian Crepes with Chocolate Hazelnut Spread and Banana,Hannah Sunderani,The Two Spoons Cookbook,43,,,French,Breakfast,,,,,,,,
Maple Pecan Granola,Hannah Sunderani,The Two Spoons Cookbook,44,,,French,Breakfast,,,,,,,,
Creamy Chia Pudding with Red Fruits,Hannah Sunderani,The Two Spoons Cookbook,47,,,French,Breakfast,,,,,,,,6/4/2020
Blueberry Muffin 0vernight Oats,Hannah Sunderani,The Two Spoons Cookbook,48,,,French,Breakfast,,,,,,,,
Heavenly Coconut Quinoa Porridge,Hannah Sunderani,The Two Spoons Cookbook,51,,,French,Breakfast,,,,,,,,
Savoury French Toast,Hannah Sunderani,The Two Spoons Cookbook,52,,,French,Breakfast,,,,,,,,
Buckwlleat Crepes with Cashew Cream Cheese and Greens,Hannah Sunderani,The Two Spoons Cookbook,55,,,French,Breakfast,,,,,,,,
Mushroom and Spinach Quiche,Hannah Sunderani,The Two Spoons Cookbook,57,,,French,Breakfast,,,,,,,,
Chickpea Eggy Muffins,Hannah Sunderani,The Two Spoons Cookbook,61,,,French,Breakfast,,,,,,,,
"Chickpea Omelette with Ricotta, Grilled Asparagus, and Tomato",Hannah Sunderani,The Two Spoons Cookbook,62,,,French,Breakfast,,,,,,,,
Veggie Tofu Scramble with Roasted Baby Potatoes,Hannah Sunderani,The Two Spoons Cookbook,65,,,French,Breakfast,,,,,,,,
Raspberry Chia Jam,Hannah Sunderani,The Two Spoons Cookbook,66,,,French,Breakfast,,,,,,,,
Chocolate Hazelnut Spread,Hannah Sunderani,The Two Spoons Cookbook,69,,,French,Breakfast,,,,,,,,
Avocado Toast with Pink Beet Hummus and Granola,Hannah Sunderani,The Two Spoons Cookbook,70,,,French,Breakfast,,,,,,,,
PB&j with Fried Banana Toast,Hannah Sunderani,The Two Spoons Cookbook,73,,,French,Breakfast,,,,,,,,
Chocolate Hazelnut Spread and Strawberry Toast,Hannah Sunderani,The Two Spoons Cookbook,74,,,French,Breakfast,,,,,,,,
Tofu Eggy Scramble on Whole Wheat Toast,Hannah Sunderani,The Two Spoons Cookbook,77,,,French,Breakfast,,,,,,,,
Creamy Dreamy Almond Milk,Hannah Sunderani,The Two Spoons Cookbook,81,,,French,Drink,,,,,,,,
Super-Quick Oat Milk,Hannah Sunderani,The Two Spoons Cookbook,82,,,French,Drink,,,,,,,,
Barista Cashew Coconut Oat Milk,Hannah Sunderani,The Two Spoons Cookbook,85,,,French,Drink,,,,,,,,
Golden Turmeric Latte,Hannah Sunderani,The Two Spoons Cookbook,86,,,French,Drink,,,,,,,,
Matcha Latte,Hannah Sunderani,The Two Spoons Cookbook,89,,,French,Drink,,,,,,,,
Chocolat Chaud,Hannah Sunderani,The Two Spoons Cookbook,90,,,French,Drink,,,,,,,,
Wally's Chocolate Coffee Freakshake,Hannah Sunderani,The Two Spoons Cookbook,93,,,French,Drink,,,,,,,,
Supreme Blueberry Smoothie,Hannah Sunderani,The Two Spoons Cookbook,94,,,French,Drink,,,,,,,,
Green Detox Smoothie,Hannah Sunderani,The Two Spoons Cookbook,97,,,French,Drink,,,,,,,,
Immunity Boost Juice,Hannah Sunderani,The Two Spoons Cookbook,98,,,French,Drink,,,,,,,,
Energizing Green Tonic,Hannah Sunderani,The Two Spoons Cookbook,101,,,French,Drink,,,,,,,,
Sweet Sables,Hannah Sunderani,The Two Spoons Cookbook,107,,,French,Dessert,,,,,,,,
Pretty Petites Meringues,Hannah Sunderani,The Two Spoons Cookbook,110,,,French,Dessert,,,,,,,,
Chocolate Macarons,Hannah Sunderani,The Two Spoons Cookbook,113,,,French,Dessert,,,,,,,,
Madeleines,Hannah Sunderani,The Two Spoons Cookbook,117,,,French,Dessert,,,,,,,,
My Darling Flourless Chocolate Chip Cookies,Hannah Sunderani,The Two Spoons Cookbook,118,,,French,Dessert,,,,,,,,
Raspberry Jam Thumbprint Cookies,Hannah Sunderani,The Two Spoons Cookbook,121,,,French,Dessert,,,,,,,,
Ginger Snap or Chewy Cookies,Hannah Sunderani,The Two Spoons Cookbook,122,,,French,Dessert,,,,,,,,
Canneles,Hannah Sunderani,The Two Spoons Cookbook,125,,,French,Dessert,,,,,,,,
Baked Beignets,Hannah Sunderani,The Two Spoons Cookbook,127,,,French,Dessert,,,,,,,,
Pain d'Epices,Hannah Sunderani,The Two Spoons Cookbook,129,,,French,Dessert,,,,,,,,
Healthier Millionaire Bars,Hannah Sunderani,The Two Spoons Cookbook,133,,,French,Dessert,,,,,,,,
Brookies,Hannah Sunderani,The Two Spoons Cookbook,135,,,French,Dessert,,,,,,,,
