Recipe ID,Name,Aurthor,Main_Source,Sub_Source,Cooktime,Cuisine ,Type,Gluten_Free,Nut_Free,Oil_Free,Soy_Free,No_Added_Sugar,Refined_Sugar_Free,Raw,Last_Made
1,Cinnamony French Toast with Apple Compote,Hannah Sunderani,The Two Spoons Cookbook,29,30,French,Breakfast,0,0,0,0,0,1,0,
2,Oaty Banana Pancakes,Hannah Sunderani,The Two Spoons Cookbook,30,40,French,Breakfast,1,0,0,1,0,1,0,
3,Classic Flaky Croissants,Hannah Sunderani,The Two Spoons Cookbook,33,840,French,Breakfast,0,0,0,1,0,0,0,
4,Buttery Brioche,Hannah Sunderani,The Two Spoons Cookbook,39,215,French,Breakfast,0,0,0,1,0,0,0,
5,Parisian Crepes with Chocolate Hazelnut Spread and Banana,Hannah Sunderani,The Two Spoons Cookbook,43,90,French,Breakfast,0,0,0,1,0,0,0,
6,Maple Pecan Granola,Hannah Sunderani,The Two Spoons Cookbook,44,40,French,Breakfast,1,0,0,1,0,1,0,
7,Creamy Chia Pudding with Red Fruits,Hannah Sunderani,The Two Spoons Cookbook,47,510,French,Breakfast,1,1,1,1,0,1,1,6/4/2022
8,Blueberry Muffin 0vernight Oats,Hannah Sunderani,The Two Spoons Cookbook,48,485,French,Breakfast,1,0,1,1,0,1,1,
9,Heavenly Coconut Quinoa Porridge,Hannah Sunderani,The Two Spoons Cookbook,51,20,French,Breakfast,1,1,1,1,0,1,0,
10,Savoury French Toast,Hannah Sunderani,The Two Spoons Cookbook,52,30,French,Breakfast,0,1,0,1,1,1,0,
11,Buckwlleat Crepes with Cashew Cream Cheese and Greens,Hannah Sunderani,The Two Spoons Cookbook,55,,French,Breakfast,,,,,,,,
12,Mushroom and Spinach Quiche,Hannah Sunderani,The Two Spoons Cookbook,57,,French,Breakfast,,,,,,,,
13,Chickpea Eggy Muffins,Hannah Sunderani,The Two Spoons Cookbook,61,,French,Breakfast,,,,,,,,
14,"Chickpea Omelette with Ricotta, Grilled Asparagus, and Tomato",Hannah Sunderani,The Two Spoons Cookbook,62,,French,Breakfast,,,,,,,,
15,Veggie Tofu Scramble with Roasted Baby Potatoes,Hannah Sunderani,The Two Spoons Cookbook,65,,French,Breakfast,,,,,,,,
16,Raspberry Chia Jam,Hannah Sunderani,The Two Spoons Cookbook,66,,French,Breakfast,,,,,,,,
17,Chocolate Hazelnut Spread,Hannah Sunderani,The Two Spoons Cookbook,69,,French,Breakfast,,,,,,,,
18,Avocado Toast with Pink Beet Hummus and Granola,Hannah Sunderani,The Two Spoons Cookbook,70,,French,Breakfast,,,,,,,,
19,PB&j with Fried Banana Toast,Hannah Sunderani,The Two Spoons Cookbook,73,,French,Breakfast,,,,,,,,6/7/2022
20,Chocolate Hazelnut Spread and Strawberry Toast,Hannah Sunderani,The Two Spoons Cookbook,74,,French,Breakfast,,,,,,,,
21,Tofu Eggy Scramble on Whole Wheat Toast,Hannah Sunderani,The Two Spoons Cookbook,77,,French,Breakfast,,,,,,,,
22,Creamy Dreamy Almond Milk,Hannah Sunderani,The Two Spoons Cookbook,81,,French,Drink,,,,,,,,
